record_id,temperature,pressure,speed,torque,vibration,tool_wear,material_strength,quality_label
1,74.23,5.87,1482.1,39.45,0.3812,87.3,298.7,0
2,76.11,6.12,1515.4,41.20,0.4025,92.1,302.4,0
3,85.67,6.45,1498.7,38.90,0.4112,105.6,295.3,0
4,91.42,7.23,1523.6,42.15,0.5623,112.4,288.1,1
5,73.88,5.92,1476.2,40.33,0.3945,78.9,301.5,0
6,78.45,8.91,1501.3,39.77,0.6234,134.7,299.2,1
7,72.91,6.01,1489.8,40.12,0.3756,68.4,303.8,0
8,96.33,6.78,1534.2,43.21,0.7812,198.3,285.6,1
9,74.56,5.88,1478.9,39.56,0.3834,81.2,300.1,0
10,77.23,6.15,1507.4,41.08,0.4156,95.7,297.6,0
11,80.12,7.45,1856.3,38.67,0.5234,145.2,292.3,1
12,75.34,6.02,1492.6,40.45,0.3967,89.4,299.8,0
13,73.67,5.95,1481.7,39.88,0.3812,76.3,302.1,0
14,88.92,6.89,1518.4,42.34,0.6578,167.8,287.4,1
15,74.89,6.08,1496.3,40.23,0.4034,82.9,301.2,0
16,76.45,6.23,1509.1,41.45,0.4189,97.6,298.9,0
17,79.34,7.12,1523.7,39.12,0.4756,128.4,294.5,0
18,75.12,6.01,1487.4,40.67,0.3923,85.1,300.7,0
19,94.67,6.45,1498.2,38.89,0.8123,221.4,283.2,1
20,73.23,5.89,1479.6,39.34,0.3801,77.8,303.4,0
21,77.89,6.34,1512.8,41.67,0.4234,99.3,297.1,0
22,72.56,5.92,1483.4,40.12,0.3778,72.6,304.2,0
23,86.78,6.67,1526.3,42.89,0.5934,156.7,289.8,1
24,74.34,6.05,1491.7,40.34,0.3956,80.4,301.9,0
25,75.67,6.18,1504.2,40.78,0.4078,91.8,299.3,0
26,81.23,7.56,1537.4,38.45,0.5345,149.6,291.7,1
27,73.45,5.91,1480.8,39.67,0.3823,79.1,302.8,0
28,77.12,6.28,1510.6,41.23,0.4167,96.2,298.4,0
29,75.89,6.11,1494.3,40.56,0.4012,87.7,300.5,0
30,92.45,7.34,1521.8,43.12,0.7456,204.3,284.1,1
31,74.67,6.03,1488.9,40.23,0.3934,83.5,301.6,0
32,76.78,6.25,1508.4,41.34,0.4145,94.8,298.7,0
33,78.12,6.78,1498.7,39.67,0.4534,118.3,295.8,0
34,73.89,5.94,1482.3,39.78,0.3845,78.6,303.1,0
35,89.34,6.92,1515.6,42.45,0.6789,172.4,286.9,1
36,75.23,6.07,1493.8,40.45,0.3978,86.3,300.9,0
37,77.45,6.31,1511.2,41.56,0.4201,97.9,297.8,0
38,74.12,5.98,1485.7,40.12,0.3901,81.7,302.3,0
39,76.34,6.19,1505.9,40.89,0.4089,93.4,299.1,0
40,93.12,6.56,1527.4,43.34,0.8234,215.7,282.6,1
